ds,y,temp,HDH,CDH,Day Type,train,yhat_hcdh,yhat_5p
2015-07-02,64.932,26.67083333333333,0.0,112.1,Working Day,True,62.39670854193493,66.9034439850922
2015-07-03,59.337,25.391666666666666,0.0,101.8,Non-Working Day,True,55.67506981660904,58.52946411879379
2015-07-04,59.545,25.27916666666667,0.0,109.0,Non-Working Day,True,56.78427419183319,58.25014269811566
2015-07-05,53.021,22.40625,0.0,59.0,Non-Working Day,True,49.08146603055439,51.11710123302024
2015-07-06,55.365,22.61875,0.0,70.89999999999999,Working Day,True,55.30195448119961,56.38733060633465
2015-07-07,54.404,22.475,0.0,57.900000000000006,Working Day,True,53.06331849116177,56.014265401638376
2015-07-08,50.337,20.116666666666667,0.0,26.9,Working Day,True,47.72503266876384,49.89383334778052
2015-07-09,45.658,18.413194444444446,0.0,2.6499999999999986,Working Day,True,43.549115533500945,45.4729205597613
2015-07-10,46.958,20.291666666666668,0.0,21.5,Working Day,True,46.795137719055816,50.34799968393252
2015-07-11,47.176,21.791666666666668,0.0,49.7,Non-Working Day,True,47.64874371255654,49.59117865709337
2015-07-12,46.838,22.46666666666667,0.0,56.19999999999999,Non-Working Day,True,48.650108773522774,51.26710718116221
2015-07-13,54.91,23.59166666666667,0.0,81.9,Working Day,True,57.196184934308555,58.91227916565588
2015-07-14,55.486,22.570833333333336,0.0,64.6,Working Day,True,54.21707703987358,56.26297553810257
2015-07-15,57.829,23.7125,0.0,97.0,Working Day,True,59.796446738121745,59.225870207284636
2015-07-16,61.518,24.2125,0.0,92.1,Working Day,True,58.95265317264594,60.52348831057605
2015-07-17,60.627,24.42083333333333,0.0,99.5,Working Day,True,60.22695365928286,61.06416252028081
2015-07-18,53.005,23.28333333333333,0.0,71.30000000000001,Non-Working Day,True,50.97635683822897,53.294773790529426
2015-07-19,56.924,26.633333333333336,0.0,129.0,Non-Working Day,True,59.86539745634471,61.612344984056215
2015-07-20,69.645,28.225,0.0,149.4,Working Day,True,68.81987180565889,70.9368735894897
2015-07-21,63.428,23.329166666666666,0.0,67.69999999999999,Working Day,True,54.75090562211337,58.231029661427876
2015-07-22,54.049,21.3125,0.0,41.400000000000006,Working Day,True,50.22197281149836,52.99730331148583
2015-07-23,50.267,20.53645833333333,0.0,35.800000000000004,Working Day,True,49.25763730809744,50.98329188033559
2015-07-24,52.205,22.2,0.0,65.7,Working Day,True,54.406500085184476,55.300575444828105
2015-07-25,50.051,22.0,0.0,63.39999999999999,Non-Working Day,True,49.75931314874693,50.10844054723808
2015-07-26,50.17,22.554166666666664,0.0,68.0,Non-Working Day,True,50.46797149958457,51.48435717502297
