,"Electricity demand, daily sum, (GWh)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,yhat_rf,yhat_svm,yhat_nn
2015-07-02,462.6,23.27083333333333,26.1,False,477.7922034232065,497.8752172860898,496.241654251109
2015-07-03,424.376,22.97083333333333,26.7,True,462.2978891434385,436.8268509361257,441.5271388202526
2015-07-04,396.572,22.133333333333336,23.3,False,441.39355685423584,454.72772399683436,442.84033875177283
2015-07-05,422.882,23.979166666666668,28.3,False,449.03062380412536,467.5747853031642,458.22648788202673
2015-07-06,507.533,24.89097222222222,28.3,False,503.9752069457263,503.9407289956138,520.9396756515918
2015-07-07,556.97,26.56888888888889,29.4,False,550.6081142480248,530.4843610840593,546.4479730929982
2015-07-08,541.464,26.691666666666663,29.4,False,556.1154998209046,516.3853822919401,542.3938489427694
2015-07-09,489.296,23.057152777777777,25.6,False,483.05559680240117,496.53338067204083,493.3650367571312
2015-07-10,494.03,25.15659722222222,28.3,False,505.22869234462564,501.3597072097106,521.786849959859
2015-07-11,468.524,25.883333333333336,30.6,False,500.2446611157477,477.5585067779048,493.762355707998
2015-07-12,480.017,26.71666666666667,31.1,False,502.9113016037775,479.51679101940886,496.15175733189704
2015-07-13,546.655,25.8875,30.0,False,532.6468493515796,509.0657533784304,534.5430854953772
2015-07-14,532.54,24.23145833333333,25.825000000000003,False,493.9233029631851,518.9727291577727,515.9223255319966
2015-07-15,508.429,24.85972222222222,26.7,False,507.26587114162203,507.9290963994694,517.2598723635881
2015-07-16,460.404,22.204166666666666,26.1,False,456.14074804694064,495.7522293274112,481.1395753469767
2015-07-17,468.983,22.758333333333336,26.1,False,468.0741098481152,492.37292615453487,488.4860956760085
2015-07-18,485.589,25.472916666666663,28.9,False,488.6126099282347,473.12903319297436,488.4572235953892
2015-07-19,547.318,29.925,33.9,False,581.3201005879554,492.2141348566609,540.7431787980446
2015-07-20,622.939,30.9,33.9,False,595.8980894731119,525.2296565855247,604.3510860860185
2015-07-21,575.758,27.89583333333333,30.6,False,572.9981622139558,535.2379926372972,564.8782021754802
2015-07-22,509.406,25.070833333333336,29.4,False,506.0979218699937,513.1677379327998,519.4457681079747
2015-07-23,494.119,24.72083333333333,28.9,False,505.81811064257164,505.94300448853414,515.9382425237259
2015-07-24,492.282,25.65,30.0,False,522.8283967882206,505.51808339087256,528.2669159455427
2015-07-25,470.82,25.60833333333333,30.6,False,485.8369280853593,476.94411969315246,489.8688509905263
2015-07-26,491.198,26.854166666666668,30.6,False,509.7245856431402,478.8152755977819,498.2472240187915
2015-07-27,558.068,25.68055555555556,29.4,False,534.1904830386759,507.556874777936,531.7915820684441
2015-07-28,593.878,28.65,35.0,False,594.9055975900701,543.7082935347239,574.2471578128719
2015-07-29,615.851,29.77083333333333,34.4,False,598.2400137317356,530.3681867511061,584.502159997722
2015-07-30,596.964,26.369097222222223,28.3,False,557.1235180826349,508.127485530175,539.4531478157962
2015-07-31,555.298,27.379166666666663,31.7,False,556.0458479385219,512.0820791649542,552.2431729532996
2015-08-01,503.157,27.379166666666663,31.1,False,540.0669786045489,486.590527436038,515.4938201206276
2015-08-02,487.181,26.475,31.1,False,497.419185162233,479.090677313244,493.43206535775096
2015-08-03,561.226,27.854166666666668,31.7,False,567.088051867122,520.2946383301078,562.5837875367038
2015-08-04,555.965,26.86875,31.7,False,553.2298918824307,525.4400481039464,550.7112532363035
2015-08-05,522.326,25.945833333333336,30.0,False,531.0599027245415,511.798868088751,532.357607792802
