ds,y,yhat_prophet,train
2015-07-02,64.932,57.983143591709776,True
2015-07-03,59.337,56.68586311350397,True
2015-07-04,59.545,54.62670907023985,True
2015-07-05,53.021,50.170758731086174,True
2015-07-06,55.365,54.677806862974286,True
2015-07-07,54.404,54.20143106758326,True
2015-07-08,50.337,51.79127804877593,True
2015-07-09,45.658,49.60889865895173,True
2015-07-10,46.958,50.7134096455231,True
2015-07-11,47.176,50.39487792134382,True
2015-07-12,46.838,50.587864783606776,True
2015-07-13,54.91,56.25288177370045,True
2015-07-14,55.486,55.45443748394778,True
2015-07-15,57.829,58.26000766524886,True
2015-07-16,61.518,57.68719736660771,True
2015-07-17,60.627,57.877718307837476,True
2015-07-18,53.005,52.962740562855835,True
2015-07-19,56.924,57.3560646374948,True
2015-07-20,69.645,62.592038710543086,True
2015-07-21,63.428,56.52176337993164,True
2015-07-22,54.049,54.513616308970704,True
2015-07-23,50.267,53.863685750959725,True
2015-07-24,52.205,55.866614339542366,True
2015-07-25,50.051,53.03389359921213,True
2015-07-26,50.17,53.03845749326409,True
2015-07-27,58.771,61.90404987599378,True
2015-07-28,64.873,66.17355080309925,True
2015-07-29,70.865,66.1056770724823,True
2015-07-30,67.734,61.13283181216096,True
2015-07-31,60.733,56.747715966576386,True
2015-08-01,53.458,53.93050159228786,True
2015-08-02,52.145,53.123221373373916,True
2015-08-03,53.871,55.843041887020036,True
2015-08-04,48.808,53.321844679726546,True
2015-08-05,53.65,58.426639349176945,True
2015-08-06,55.447,58.16373719369272,True
2015-08-07,55.601,55.74020989486241,True
2015-08-08,49.355,51.756593911144655,True
2015-08-09,52.366,54.40314815515158,True
2015-08-10,54.998,55.61744086294617,True
2015-08-11,54.102,56.514526110421784,True
2015-08-12,54.62,57.6080586324664,True
2015-08-13,55.891,57.00615603297907,True
2015-08-14,55.133,57.437067374008734,True
2015-08-15,55.852,58.82607158920196,True
2015-08-16,60.917,61.98351864576187,True
2015-08-17,68.574,63.67318623511763,True
2015-08-18,61.732,57.84264761415177,True
2015-08-19,55.602,55.63195115723873,True
2015-08-20,53.044,54.05193490363796,True
2015-08-21,53.02,53.89083940937476,True
2015-08-22,50.725,52.38940353364439,True
2015-08-23,49.543,51.76398620932764,True
2015-08-24,55.077,56.45931325076365,True
2015-08-25,57.578,58.12293597825723,True
2015-08-26,60.256,60.367179271243714,True
2015-08-27,65.093,62.206262919218666,True
2015-08-28,66.47,61.2286948285604,True
2015-08-29,54.794,51.336514381745005,True
2015-08-30,48.864,51.89309597908054,True
2015-08-31,56.382,57.20620941774996,True
2015-09-01,56.854,56.21508564712329,True
2015-09-02,52.261,52.97363574482779,True
2015-09-03,49.578,52.42738596539508,True
2015-09-04,46.917,51.32233919427543,True
2015-09-05,43.077,50.367576018771075,True
2015-09-06,43.967,51.49295544430797,True
2015-09-07,49.438,57.0653454975484,True
2015-09-08,57.555,59.91630560695304,True
2015-09-09,63.764,62.92264141093914,True
2015-09-10,67.884,63.332536350692,True
2015-09-11,64.633,59.36740145919772,True
2015-09-12,52.499,49.13720240331282,True
2015-09-13,54.656,52.023589971291145,True
2015-09-14,49.552,48.02765200403401,True
2015-09-15,46.158,48.45001909516621,True
2015-09-16,44.332,47.636073794214866,True
2015-09-17,46.38,49.118612058025725,True
2015-09-18,47.772,51.004390314534874,True
2015-09-19,48.315,50.24187814163065,True
2015-09-20,50.667,51.43887005839958,True
2015-09-21,57.678,56.81761429189598,True
2015-09-22,51.64,47.90040841081371,True
2015-09-23,48.749,49.73733922767492,True
2015-09-24,53.451,52.428452502045026,True
2015-09-25,54.718,51.73300682104447,True
2015-09-26,52.571,48.89485107605677,True
2015-09-27,49.371,46.18202851171031,True
2015-09-28,50.971,47.788269374308484,True
2015-09-29,45.854,44.94648268622935,True
2015-09-30,43.635,43.447702696120494,True
2015-10-01,44.028,44.01841510845883,True
2015-10-02,45.803,48.18450055437487,True
2015-10-03,42.059,42.09430735822351,True
2015-10-04,39.942,40.17976356889436,True
2015-10-05,44.835,44.20724788837649,True
2015-10-06,46.591,44.941561614307176,True
2015-10-07,47.698,45.922030415150125,True
2015-10-08,50.575,47.39866012027248,True
2015-10-09,50.784,47.52877172229599,True
2015-10-10,46.362,43.0041806341145,True
2015-10-11,45.656,43.18250610035752,True
2015-10-12,51.091,48.376040841995874,True
2015-10-13,53.891,50.624016123735004,True
2015-10-14,52.965,48.727187773646754,True
2015-10-15,51.148,46.558297466413556,True
2015-10-16,50.855,46.42839835632979,True
2015-10-17,41.718,39.11835159357454,True
2015-10-18,39.658,38.500966606765644,True
2015-10-19,43.173,42.66274668009403,True
2015-10-20,43.953,46.35066176859912,True
2015-10-21,43.888,45.215814341721114,True
2015-10-22,44.541,44.947557317027886,True
2015-10-23,43.297,43.56762412521388,True
2015-10-24,40.168,40.50844879867734,True
2015-10-25,39.873,39.89219570449103,True
2015-10-26,43.407,43.43933090044415,True
2015-10-27,42.69,42.102534607569595,True
2015-10-28,42.98,42.227617439476965,True
2015-10-29,42.806,43.738329696507336,True
2015-10-30,42.61,43.987762273929626,True
2015-10-31,40.049,41.371614859116114,True
2015-11-01,40.714,37.65816305757623,True
2015-11-02,41.069,40.99231060542237,True
2015-11-03,41.344,42.90701880595602,True
2015-11-04,42.135,43.679693402898245,True
2015-11-05,43.162,45.35072397844508,True
2015-11-06,43.001,44.61074356910603,True
2015-11-07,40.393,41.46434995369677,True
2015-11-08,41.028,38.740270702492,True
2015-11-09,44.801,42.289255076745135,True
2015-11-10,43.707,44.24655891163471,True
