ds,y,temp,HDH,CDH,Day Type,train,yhat_hcdh,yhat_5p
2018-09-28,397.142,15.786805555555556,7.049999999999997,0.0,Working Day,False,380.38536281517696,386.1511092835971
2018-09-29,361.691,17.804166666666667,1.1999999999999993,26.2,Non-Working Day,False,366.35938264731146,353.2881425670156
2018-09-30,355.576,17.075,7.999999999999998,15.300000000000004,Non-Working Day,False,359.89374157381826,353.2881425670156
2018-10-01,410.404,20.92430555555556,0.0,70.78333333333333,Working Day,False,435.2515323957519,437.6168177277247
2018-10-02,432.807,21.98125,0.0,95.54999999999998,Working Day,False,454.9613718113199,457.4901556131147
2018-10-03,424.573,19.77083333333333,0.0,44.3,Working Day,False,414.1755331822003,415.92850351771614
2018-10-04,428.146,20.54826388888889,0.0,70.75833333333334,Working Day,False,435.23163686471327,430.54624449189106
2018-10-05,401.096,18.29513888888889,0.0,18.88333333333333,Working Day,False,393.94840995962875,388.181563303226
2018-10-06,375.43,18.12986111111111,0.0,7.399999999999991,Non-Working Day,False,352.46046877390654,353.2881425670156
2018-10-07,391.263,22.652083333333334,0.0,111.65,Non-Working Day,False,428.1189398436676,428.4021564617281
2018-10-08,415.371,19.271527777777777,0.0,31.116666666666664,Non-Working Day,False,369.67261974629184,369.0090899875376
2018-10-09,445.789,21.7125,0.0,89.1,Working Day,False,449.8283248033624,452.43694814816996
2018-10-10,467.951,22.959722222222226,0.0,119.03333333333332,Working Day,False,473.6499073002401,475.88800914827556
2018-10-11,466.547,22.471944444444446,0.0,107.32666666666668,Working Day,False,464.3334932992341,466.7165028863189
2018-10-12,397.118,14.933680555555556,21.1,3.975000000000005,Working Day,False,386.46778549837103,389.65540039505674
2018-10-13,354.08,10.664583333333333,104.05,0.0,Non-Working Day,False,369.19958534080575,373.1672650062899
2018-10-14,345.949,11.404166666666669,86.3,0.0,Non-Working Day,False,365.42788554352836,369.7288083380272
2018-10-15,393.711,16.020833333333332,17.224999999999998,6.875,Working Day,False,387.97059565143,385.1898181931927
2018-10-16,384.564,11.154166666666669,92.9,0.0,Working Day,False,398.22159088248884,405.18010888029795
2018-10-17,388.844,11.670833333333334,83.3,0.0,Working Day,False,396.2270912966275,403.05785199228336
2018-10-18,394.241,7.6375,176.7,0.0,Working Day,False,415.6319101840699,419.62514769871996
2018-10-19,390.118,10.625,105.0,0.0,Working Day,False,400.7354914021682,407.3537106930226
2018-10-20,358.605,13.557638888888889,38.016666666666666,0.0,Non-Working Day,False,355.1681537945025,359.7169265274332
2018-10-21,362.089,7.6125,177.3,0.0,Non-Working Day,False,384.7644873211195,387.3569523837684
2018-10-22,398.773,7.529166666666668,179.29999999999998,0.0,Working Day,False,416.17208715524066,420.07013704620687
2018-10-23,392.285,12.4625,68.8,0.0,Working Day,False,393.21456588048284,399.8060067606481
2018-10-24,395.936,9.516666666666667,131.6,0.0,Working Day,False,406.26191733799226,411.906294017312
2018-10-25,398.538,7.183333333333334,187.6,0.0,Working Day,False,417.89649825551663,421.4906799631844
2018-10-26,398.191,6.9437500000000005,193.35,0.0,Working Day,False,419.09112040329813,422.47479102012664
2018-10-27,382.474,8.738551587301588,150.2747619047619,0.0,Non-Working Day,False,379.0218909805458,382.1217349110946
2018-10-28,364.857,9.275,137.4,0.0,Non-Working Day,False,376.28613115709874,379.62768922525106
2018-10-29,397.683,10.619444444444444,105.13333333333333,0.0,Working Day,False,400.76319278530514,407.3765306595604
2018-10-30,397.697,9.029166666666669,143.3,0.0,Working Day,False,408.6927137082607,413.9087460810032
2018-10-31,397.623,12.741666666666667,68.3,0.0,Working Day,False,393.11068569371923,398.6593034421241
2018-11-01,397.702,17.258333333333333,2.3999999999999986,15.299999999999995,Working Day,False,391.5953420738955,383.68198890420814
2018-11-02,402.059,19.68263888888889,0.0,40.7,Working Day,False,411.3105767126426,414.27021579666194
2018-11-03,369.645,13.091352513227513,52.407539682539685,0.6000000000000014,Non-Working Day,False,358.6615167019824,361.88477621448163
2018-11-04,376.904,9.270833333333334,137.5,0.0,Non-Working Day,False,376.30738017004114,379.64706081211455
2018-11-05,404.702,10.290277777777778,113.03333333333332,0.0,Working Day,False,402.4044997361702,408.72861367692457
2018-11-06,403.131,12.420347222222224,61.91166666666666,0.0,Working Day,False,391.78344317416946,399.9791532567536
2018-11-07,393.754,13.9375,33.4,0.0,Working Day,False,385.85984865761924,393.74730564486447
2018-11-08,397.518,9.791666666666666,125.0,0.0,Working Day,False,404.8906988727126,410.7767056736913
2018-11-09,409.558,8.760416666666666,149.75,0.0,Working Day,False,410.0327681175113,415.01266196226885
2018-11-10,382.899,5.74375,222.15,0.0,Non-Working Day,False,394.2946696257893,396.0451090920265
2018-11-11,379.154,4.2875000000000005,257.1,0.0,Non-Working Day,False,401.72119964916084,402.81547870080294
2018-11-12,409.8,6.672222222222222,199.86666666666665,0.0,Non-Working Day,False,389.55968124178946,391.72847381928733
2018-11-13,416.873,7.697767857142857,175.25357142857143,0.0,Working Day,False,415.3313996437895,419.37759181172515
2018-11-14,429.237,2.4791666666666665,300.5,0.0,Working Day,False,441.3526444267398,440.81348662905924
2018-11-15,447.803,0.2506944444444445,353.9833333333333,0.0,Working Day,False,452.464361737554,449.96714570653086
2018-11-16,434.027,4.472569444444445,252.65833333333333,0.0,Working Day,False,431.41304188990836,432.625397385718
2018-11-17,398.59,6.054166666666667,214.7,0.0,Non-Working Day,False,392.71161816157996,394.60192587069935
2018-11-18,395.451,5.5062500000000005,227.85,0.0,Non-Working Day,False,395.5058633635066,397.14928954324324
2018-11-19,418.192,8.09375,165.75,0.0,Working Day,False,413.35693409394685,417.7510579468038
2018-11-20,423.235,6.670833333333333,199.9,0.0,Working Day,False,420.45195084990144,423.59582187629564
2018-11-21,434.844,3.353125,279.525,0.0,Working Day,False,436.99487059200635,437.22362064308294
2018-11-22,421.763,-5.254166666666666,486.1,0.0,Non-Working Day,False,450.38143928727465,447.1764126181076
2018-11-23,436.797,-3.9958333333333336,455.9,0.0,Working Day,False,473.63860647286987,467.41015762885513
2018-11-24,411.012,4.408333333333333,254.2,0.0,Non-Working Day,False,401.104978273831,402.25370268176283
2018-11-25,386.473,10.19625,115.29,0.0,Non-Working Day,False,371.5879743955324,375.3446313697419
2018-11-26,422.984,9.472718253968257,132.6547619047619,0.0,Working Day,False,406.4810550653079,412.086816252602
2018-11-27,430.119,5.280555555555556,233.26666666666668,0.0,Working Day,False,427.38422197992634,429.3065185023779
2018-11-28,438.633,3.9791666666666665,264.5,0.0,Working Day,False,433.87327097975987,434.65209566385556
2018-11-29,433.528,5.304166666666666,232.7,0.0,Working Day,False,427.2664911015943,429.20953364459234
2018-11-30,430.951,4.4125000000000005,254.1,0.0,Working Day,False,431.7125630950768,432.87213827390786
2018-12-01,400.572,5.308333333333334,232.6,0.0,Non-Working Day,False,396.51519147827094,398.0694399192572
2018-12-02,391.905,10.080208333333331,118.075,0.0,Non-Working Day,False,372.1797594059785,375.884130063889
2018-12-03,415.056,11.014583333333334,95.65,0.0,Working Day,False,398.7929319096887,405.75346053955997
2018-12-04,433.541,3.161111111111111,284.1333333333333,0.0,Working Day,False,437.9522996466776,438.01233573654537
2018-12-05,448.043,0.4499999999999999,349.2,0.0,Working Day,False,451.47057461751547,449.1484794069876
