,"Electricity demand, daily sum, (GWh)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,yhat_rf,yhat_svm,yhat_nn
2015-07-02,93.135,25.641666666666666,31.7,False,98.41817825792891,96.55317245822694,97.90909750190943
2015-07-03,84.486,23.5,30.6,True,90.09502644478451,83.98616365049958,84.78684262609707
2015-07-04,74.337,21.48958333333333,27.2,False,76.54098268357626,79.10456397623892,79.4836329322848
2015-07-05,70.692,20.29652777777778,25.6,False,71.63447774603338,73.23140113785982,74.28925625882782
2015-07-06,79.813,20.288888888888888,25.6,False,79.22398827883683,83.16936239617425,84.11835920634864
2015-07-07,80.487,20.664583333333333,26.1,False,81.6970621406725,85.0337040608402,85.75731937239706
2015-07-08,77.819,20.59375,23.95,False,81.09229457938167,82.17346223393368,86.56829452053856
2015-07-09,77.551,20.55208333333333,23.9,False,80.78908942276227,81.4328016335143,86.33107019979148
2015-07-10,77.618,20.20833333333333,24.4,False,79.19230942941432,82.67279187964697,84.1138153027109
2015-07-11,74.188,21.70833333333333,27.2,False,76.47396299742906,79.52147157319406,80.12066560990057
2015-07-12,74.887,23.29583333333333,29.4,False,80.5317475361399,81.69295910207094,81.44346686222877
2015-07-13,87.895,24.222916666666663,31.05,False,92.65911615575061,95.21973955255946,93.30847447011686
2015-07-14,87.634,23.2625,30.6,False,89.86850920942737,93.6740708542785,91.4515332930067
2015-07-15,86.326,22.429166666666664,28.3,False,88.46588549975695,88.83112105474666,90.10437145292647
2015-07-16,87.533,22.68125,28.9,False,88.38154634980737,88.88267837993001,90.45229104157062
2015-07-17,87.836,23.558333333333334,31.7,False,88.19894476378514,94.6080977706564,90.83383912868103
2015-07-18,74.173,21.972916666666663,29.4,False,74.48246392044557,81.89192215378532,79.9763103573019
2015-07-19,85.076,26.0,32.2,False,89.74720320745429,89.5373362907169,88.15403504307481
2015-07-20,97.677,25.875,29.4,False,98.43796831947441,97.17665009951799,98.80573401330129
2015-07-21,92.393,23.554166666666664,27.8,False,92.43430137482886,91.89327602131385,93.46527930655581
2015-07-22,90.692,23.383333333333336,27.8,False,92.04499435286569,90.19187117682527,93.09097037827583
2015-07-23,89.53,23.475,29.4,False,92.04817413859523,90.73666741010034,92.55588655926549
2015-07-24,94.053,25.3375,31.7,False,98.19453253536642,98.11503937783469,96.01503823995604
2015-07-25,88.759,25.95833333333333,32.8,False,90.20695809265081,93.13306339524645,90.16856226917004
2015-07-26,82.274,24.066666666666663,29.4,False,83.81529176999078,83.26244756920818,83.68824867858912
2015-07-27,89.502,22.808333333333334,28.3,False,90.16253075446242,90.07777192450045,90.33257329272608
