ds,y,yhat_prophet,train
2015-07-02,93.135,89.21845917010691,True
2015-07-03,84.486,84.32041974612055,True
2015-07-04,74.337,73.54539519681104,True
2015-07-05,70.692,68.71653205315617,True
2015-07-06,79.813,77.52105511106144,True
2015-07-07,80.487,79.70128686793967,True
2015-07-08,77.819,79.96839750711199,True
2015-07-09,77.551,79.95457533693882,True
2015-07-10,77.618,79.17658751122589,True
2015-07-11,74.188,76.32634787012711,True
2015-07-12,74.887,77.79506723393291,True
2015-07-13,87.895,88.78567938234482,True
2015-07-14,87.634,88.0919376383373,True
2015-07-15,86.326,86.74223282471274,True
2015-07-16,87.533,87.43793868671705,True
2015-07-17,87.836,89.40596383676166,True
2015-07-18,74.173,79.70633989064218,True
2015-07-19,85.076,86.57601395834354,True
2015-07-20,97.677,95.17997228155261,True
2015-07-21,92.393,91.38594279040632,True
2015-07-22,90.692,91.40349710170754,True
2015-07-23,89.53,91.61123910182198,True
2015-07-24,94.053,95.613094398341,True
2015-07-25,88.759,90.63839264186667,True
2015-07-26,82.274,84.1586880502884,True
2015-07-27,89.502,90.03253630499617,True
2015-07-28,92.792,93.87708280961458,True
2015-07-29,93.37,93.60601441470635,True
2015-07-30,96.77,97.42885453812227,True
2015-07-31,98.945,97.604505332077,True
2015-08-01,87.918,86.44936295902298,True
2015-08-02,84.104,85.36989825270237,True
2015-08-03,94.237,94.09440489375373,True
2015-08-04,97.204,99.70666151225338,True
2015-08-05,100.933,102.70149815173194,True
2015-08-06,96.685,97.41837595456094,True
2015-08-07,89.672,88.80806653058183,True
2015-08-08,79.891,82.33508988897854,True
2015-08-09,74.317,76.8788252201953,True
2015-08-10,83.264,85.22940992487932,True
2015-08-11,85.327,88.082658087766,True
2015-08-12,92.133,98.88589345654117,True
2015-08-13,101.398,105.31311464197697,True
2015-08-14,106.463,106.80885106532772,True
2015-08-15,103.021,102.99436324102818,True
2015-08-16,100.209,98.129981292581,True
2015-08-17,105.693,95.69969233065399,True
2015-08-18,97.438,92.66707842567749,True
2015-08-19,93.175,90.75163633605703,True
2015-08-20,90.937,89.9674729904257,True
2015-08-21,88.052,89.28442823841665,True
2015-08-22,83.049,84.87081836689201,True
2015-08-23,83.626,85.14540069617881,True
2015-08-24,98.877,96.8944214727257,True
2015-08-25,97.07,98.95965859722787,True
2015-08-26,107.077,105.02267468819045,True
2015-08-27,110.321,105.8872273167074,True
2015-08-28,113.526,108.20227033577792,True
2015-08-29,104.65,100.06572678764434,True
2015-08-30,97.098,91.75246410827218,True
2015-08-31,98.624,94.69859601870529,True
2015-09-01,93.05,93.19875776428115,True
2015-09-02,90.007,91.99120587713267,True
2015-09-03,85.189,89.71312142417487,True
2015-09-04,82.032,89.7330414206845,True
2015-09-05,76.881,85.30864546628857,True
2015-09-06,78.319,88.85166810956551,True
2015-09-07,90.777,104.56334760381894,True
2015-09-08,112.522,111.39401177490797,True
2015-09-09,123.748,115.89047002148068,True
2015-09-10,122.058,111.64811912481132,True
2015-09-11,117.805,108.48401556371036,True
2015-09-12,99.143,98.6806236858612,True
2015-09-13,96.2,92.59208465665847,True
2015-09-14,99.284,93.60950289837591,True
2015-09-15,94.864,91.71111341892384,True
2015-09-16,86.414,88.36974359617206,True
2015-09-17,86.177,89.47259452874926,True
2015-09-18,90.733,95.04936470309885,True
2015-09-19,90.884,93.30885957490202,True
2015-09-20,98.984,98.66129004735718,True
2015-09-21,104.33,97.09743035779337,True
2015-09-22,97.976,93.19930810133641,True
2015-09-23,98.115,95.66330857004489,True
2015-09-24,103.324,99.25235726129742,True
2015-09-25,105.513,99.91689952600998,True
2015-09-26,98.855,93.70424294260026,True
2015-09-27,89.861,87.782657627424,True
2015-09-28,97.4,93.44725745226282,True
2015-09-29,92.544,91.45454380525987,True
2015-09-30,94.892,94.88837113556822,True
2015-10-01,92.659,91.78796107230983,True
2015-10-02,89.198,87.75047230354154,True
2015-10-03,79.623,79.46065532594459,True
2015-10-04,69.234,68.87176931914526,True
2015-10-05,77.994,78.03716108350962,True
2015-10-06,79.901,81.32588897112839,True
2015-10-07,85.015,86.79801130481792,True
2015-10-08,94.054,96.16907757503179,True
2015-10-09,105.436,104.6832470779777,True
2015-10-10,100.429,95.81121907771367,True
2015-10-11,96.806,92.75595560680114,True
2015-10-12,106.473,100.05100871745998,True
2015-10-13,111.076,98.97849958736192,True
2015-10-14,103.268,94.69430169639791,True
2015-10-15,97.771,88.75430115300767,True
2015-10-16,88.688,84.91065175120666,True
2015-10-17,83.489,81.40733561526444,True
2015-10-18,76.161,75.4544745165014,True
2015-10-19,80.757,81.90008686905661,True
2015-10-20,80.061,84.41028757495084,True
2015-10-21,82.799,90.54512608952538,True
2015-10-22,82.196,82.74467073237393,True
2015-10-23,82.632,85.8822925188497,True
2015-10-24,75.933,80.89137685220011,True
2015-10-25,70.584,71.75259593920029,True
2015-10-26,81.681,81.12020089515427,True
2015-10-27,78.807,81.14722794484399,True
2015-10-28,80.981,82.95342174744437,True
2015-10-29,79.848,82.57735286854965,True
2015-10-30,79.736,86.0048732130346,True
2015-10-31,73.878,76.55987132038408,True
2015-11-01,72.912,71.24797624073726,True
2015-11-02,75.644,71.34719359677607,True
2015-11-03,71.179,73.1932061136779,True
2015-11-04,71.276,74.98651313903311,True
2015-11-05,72.086,74.6690512480328,True
2015-11-06,72.513,76.37693069537411,True
2015-11-07,66.685,69.9268592081563,True
2015-11-08,64.257,65.41435806970482,True
2015-11-09,72.65,69.44177157780561,True
2015-11-10,72.85,73.35097758491519,True
