,,MAE_train,MAE_test,RMSE_train,RMSE_test,CVRMSE_train,CVRMSE_test
Los Angeles,5-Parameter,3.0066221173096648,4.968566824788735,4.083288742629431,6.38349261821787,0.05247962806236235,0.08204252490045175
Los Angeles,Degree Hour,3.7202406329488023,5.2689493877109665,4.744225634322196,6.850829664333015,0.06097418341589689,0.08804887808920338
Los Angeles,Decomposed,2.581347687972078,3.9588823024752053,3.447245045785381,5.321457538391163,0.0443050073716171,0.06839293764579284
Los Angeles,lightGBM,1.9909269682527135,4.15633436964933,2.6784911958846975,5.061207183153596,0.03442475675570852,0.06504812352491579
Los Angeles,Random Forest,2.2183048544421684,4.629054190663957,3.055689012486595,5.720413474329719,0.039272614051358797,0.07352043669153623
Los Angeles,Support Vector Machine,2.16485788227693,4.433022975687018,3.193093296080753,5.531594751820306,0.04103857432301798,0.07109368292684325
Los Angeles,Neural Network,2.73826947733574,3.7667670686322663,3.493548633874793,5.154488426329704,0.04490011470642693,0.0662470015018684
Sacramento,5-Parameter,2.0431604851494654,2.2518707167101293,2.789457871890704,2.9525809470508997,0.05815842249848045,0.06155943486723429
Sacramento,Degree Hour,2.4899768129622277,2.6601921096254153,3.3234694064822037,3.343320187822167,0.06929222335663202,0.06970609952222258
Sacramento,Decomposed,2.279851865501932,3.487015122576902,2.989579360052056,4.322731420109341,0.0623308282468504,0.09012620079749528
Sacramento,lightGBM,1.4240885717680491,1.6913211555241912,2.0280568819425993,2.2058061419284933,0.04228369611870948,0.04598965513864084
Sacramento,Random Forest,1.515730603183237,2.026126405823793,2.1225929767372276,2.674367715488028,0.04425471356902709,0.05575886593627786
Sacramento,Support Vector Machine,1.4846597150595329,1.6881778190080996,2.307213987069841,2.1314705898941497,0.04810394421316752,0.04443980615707482
Sacramento,Neural Network,1.8362767442775154,1.8191444891243342,2.598984778785657,2.35265221200202,0.054187179650533344,0.04905130230371846
New York,5-Parameter,14.78303830240675,17.357907890639463,20.258165583425903,22.565611817299352,0.046594078524144024,0.0519012387686679
New York,Degree Hour,15.029673511566868,17.895908266440692,20.834820980327574,23.221754129162804,0.04792039441064218,0.05341037572759333
New York,Decomposed,16.88574143664743,20.973234893840836,22.412958284012458,27.197009982123724,0.05155013339895087,0.06255352260353572
New York,lightGBM,9.741731958466513,13.261019282702389,13.608847087024017,17.84517553920412,0.031300548274452056,0.041044165964912484
New York,Random Forest,11.26471427284504,16.162861771511995,15.496493972058508,22.011652207284158,0.03564216384793277,0.050627123525510374
New York,Support Vector Machine,16.682056629945162,20.417426387306506,26.72667396382247,31.79767459285209,0.06147174285012155,0.07313511881237056
New York,Neural Network,10.970429315788069,14.024094169381549,15.530529330966356,19.31380050465844,0.035720445673551135,0.044422024966069125
